"","X","logFC","logCPM","PValue","FDR","gene.name"
"1","KH2013:KH.C2.994",2.2008005935115,8.99385475124697,1.24463040263541e-18,1.89582102929425e-14,"KH2013:KH.C2.994_RNF149"
"2","KH2013:KH.C4.351",-2.11489100914663,6.49696685633932,1.24278025268372e-12,9.46501440443924e-09,"KH2013:KH.C4.351_Mech3"
"3","KH2013:KH.C6.38",1.61571261712929,6.86337567846415,4.43101007856147e-10,2.04922688371753e-06,"NOTCH1/4"
"4","KH2013:KH.L24.10",1.71950708971964,9.67325458918012,5.38137311900611e-10,2.04922688371753e-06,"EBF1/2/3/4"
"5","KH2013:KH.S346.6",2.25709753582558,7.76885585726183,1.30952820459845e-09,3.98934672248873e-06,"KH2013:KH.S346.6_CTGF"
"6","KH2013:KH.S404.12",-4.24915151458031,4.25462095981375,3.3820123530033e-09,8.58580202682438e-06,"KH2013:KH.S404.12_HSP-16.1/11/2/41/48/49"
"7","KH2013:KH.C5.654",1.90051366721298,5.98908018414215,4.37082825671606e-09,9.51092228661415e-06,"SI:CH211-151O1.2"
"8","KH2013:KH.C9.484",2.01869032426054,6.2843480225134,9.7126935060304e-09,1.84929684354819e-05,"Gonadoliberin"
"9","KH2013:KH.C2.1144",-3.93038697702637,3.32946918578603,8.48475360878958e-08,0.00013779391188554,"KH2013:KH.C2.1144_THBS1"
"10","KH2013:KH.S1042.1",-2.01937247950517,8.02078634988438,9.40504697426013e-08,0.00013779391188554,"KH2013:KH.S1042.1"
"11","KH2013:KH.C12.280",-1.76301362596202,8.9241796668157,9.95097840559968e-08,0.00013779391188554,"KH2013:KH.C12.280"
"12","KH2013:KH.C4.439",-1.48998061046415,6.64849383708117,1.14164367370751e-07,0.000144912636982606,"KH2013:KH.C4.439_Mech3"
"13","KH2013:KH.L57.6",-1.49005133978752,7.20473698131538,1.59452034544999e-07,0.000171931705087063,"KH2013:KH.L57.6"
"14","KH2013:KH.C1.849",-1.22191687778742,9.26568029377321,1.68625166480494e-07,0.000171931705087063,"KH2013:KH.C1.849"
"15","KH2013:KH.C2.610",-9.24739814146169,1.08050424794095,1.69312997394035e-07,0.000171931705087063,"KH2013:KH.C2.610_IRC24"
"16","KH2013:KH.L141.43",1.85382664980474,5.16648223587194,2.04697533773827e-07,0.000181730311459181,"SLC35G2/6"
"17","KH2013:KH.S555.1",1.27816004836595,9.13210879102834,2.14259359681809e-07,0.000181730311459181,"KH2013:KH.S555.1_HTR7"
"18","KH2013:KH.L73.5",-2.20708715729861,4.88661286422933,2.14754832344095e-07,0.000181730311459181,"KH2013:KH.L73.5_Ci-META5"
"19","KH2013:KH.S256.15",-2.01649987519853,5.51956019777195,3.04056774459519e-07,0.000231631695255743,"KH2013:KH.S256.15_K02B12.6/9"
"20","KH2013:KH.C2.20",4.82465009890731,5.13517027234176,3.08077446690213e-07,0.000231631695255743,"KH2013:KH.C2.20"
"21","KH2013:KH.C5.127",1.41342913264706,6.1664468775223,3.19345168091558e-07,0.000231631695255743,"KH2013:KH.C5.127_FMO1"
"22","KH2013:KH.L18.59",-1.98973382348566,6.4624760047665,7.39891366812515e-07,0.000512273877240374,"KH2013:KH.L18.59"
"23","KH2013:KH.S404.8",-4.41875059731605,3.80743139615628,7.88263305022944e-07,0.000517768406351096,"KH2013:KH.S404.8_HSP-16.1/11/2/41/48/49"
"24","KH2013:KH.C1.152",-1.52260461174073,8.96136151576892,8.16962811223144e-07,0.000517768406351096,"KH2013:KH.C1.152_WBSCR27"
"25","KH2013:KH.S902.2",-1.23143058688623,6.46845253668268,8.49803713155029e-07,0.000517768406351096,"KH2013:KH.S902.2"
"26","KH2013:KH.C9.229",1.22546638150662,7.78466089948114,9.6916489294582e-07,0.000556351822550394,"NCKAP5"
"27","KH2013:KH.C3.851",7.1165094413638,0.891272522529358,9.86180357724569e-07,0.000556351822550394,"KH2013:KH.C3.851"
"28","KH2013:KH.S2353.1",-1.5364259743985,7.7524413126208,1.51378063643886e-06,0.000823496666222738,"KH2013:KH.S2353.1"
"29","KH2013:KH.L153.64",-1.34023211236228,6.65184507806829,1.60943395372351e-06,0.000841989550674898,"KH2013:KH.L153.64"
"30","KH2013:KH.C5.16",1.15827454994767,9.3638367505542,1.6583302599952e-06,0.000841989550674898,"CD109"
"31","KH2013:KH.C3.501",-1.16945243663833,6.38835535478734,1.94781026338709e-06,0.000957065997803619,"KH2013:KH.C3.501"
"32","KH2013:KH.C1.665",-1.44121426565045,5.9145267015977,2.09505823796628e-06,0.000997247721271948,"CABZ01089974.1"
"33","KH2013:KH.C10.464",1.10816859812001,6.97037588695746,2.68522374149016e-06,0.00119219131245512,"HRH1"
"34","KH2013:KH.C10.417",4.1804231793283,4.33787170094311,2.6916944270119e-06,0.00119219131245512,"KH2013:KH.C10.417_TFF1"
