KH.100170058	KY.Chr1.1142
KH.100175045	KY.Chr14.476
KH.100175117	KY.Chr11.1222
KH.100175225	KY.Chr7.1219
KH.100175330	KY.Chr5.1033
KH.100175363	KY.Chr12.297
KH.100175524	KY.Chr14.418
KH.100175542	KY.Chr5.974
KH.100175550	KY.Chr9.1123
KH.100175763	KY.Chr11.243
KH.100175797	KY.Chr2.1455
KH.100175817	KY.Chr12.518
KH.100175844	KY.Chr14.484
KH.100175869	KY.Chr3.1000
KH.100175909	KY.Chr11.1236
KH.100175917	KY.Chr2.2254
KH.100175944	KY.Chr3.976
KH.100176075	KY.Chr8.442
KH.100176133	KY.Chr7.570
KH.100176153	KY.Chr10.1265
KH.100176233	KY.Chr6.470
KH.100176303	KY.Chr7.372
KH.100176325	KY.Chr2.452
KH.100176405	KY.Chr5.559
KH.100176450	KY.Chr3.1630
KH.100176496	KY.Chr2.2283
KH.100176573	KY.Chr9.499
KH.100176680	KY.Chr10.1387
KH.100176685	KY.Chr11.924
KH.100176693	KY.Chr8.1067
KH.100176782	KY.Chr3.1441
KH.100176905	KY.Chr11.698
KH.100177011	KY.Chr3.778
KH.100177069	KY.Chr4.598
KH.100177089	KY.Chr11.711
KH.100177171	KY.Chr4.925
KH.100177200	KY.Chr5.251
KH.100177235	KY.Chr4.238
KH.100177265	KY.Chr7.1224
KH.100177290	KY.Chr4.1141
KH.100177297	KY.UAContig4.10
KH.100177321	KY.Chr10.1354
KH.100177387	KY.Chr2.1066
KH.100177453	KY.Chr12.106
KH.100177454	KY.Chr9.476
KH.100177530	KY.Chr5.454
KH.100177555	KY.Chr13.153
KH.100177563	KY.Chr2.831
KH.100177762	KY.Chr13.205
KH.100177847	KY.Chr8.1252
KH.100177917	KY.Chr3.1333
KH.100177941	KY.Chr14.41
KH.100177947	KY.Chr7.187
KH.100177961	KY.Chr3.1279
KH.100177975	KY.Chr10.104
KH.100178019	KY.Chr8.257
KH.100178069	KY.Chr10.3
KH.100178089	KY.Chr2.531
KH.100178099	KY.Chr11.645
KH.100178111	KY.Chr8.1327
KH.100178131	KY.Chr8.785
KH.100178181	KY.Chr9.560
KH.100178205	KY.Chr11.868
KH.100178327	KY.Chr9.854
KH.100178409	KY.Chr7.545
KH.100178507	KY.Chr2.1566
KH.100178545	KY.Chr10.149
KH.100178621	KY.Chr12.711
KH.100178637	KY.Chr1.2065
KH.100178666	KY.Chr11.862
KH.100178672	KY.Chr11.1141
